Entidad federativa,2000  a,,,2005  b,,,2010  c,,
,Total,Hombres,Mujeres,Total,Hombres,Mujeres,Total,Hombres,Mujeres
Estados Unidos Mexicanos,,,,,,,,,
Aguascalientes,944285,456533,487752,1065416,515364,550052,1184996,576638,608358
Baja California,2487367,1252581,1234786,2844469,1431789,1412680,3155070,1591610,1563460
Baja California Sur,424041,216250,207791,512170,261288,250882,637026,325433,311593
Campeche,690689,344334,346355,754730,373457,381273,822441,407721,414720
Coahuila de Zaragoza,2298070,1140195,1157875,2495200,1236880,1258320,2748391,1364197,1384194
Colima,542627,268192,274435,567996,280005,287991,650555,322790,327765
Chiapas,3920892,1941880,1979012,4293459,2108830,2184629,4796580,2352807,2443773
Chihuahua,3052907,1519972,1532935,3241444,1610275,1631169,3406465,1692545,1713920
Ciudad de México,8605239,4110485,4494754,8720916,4171683,4549233,8851080,4233783,4617297
Durango,1448661,709521,739140,1509117,738095,771022,1632934,803890,829044
Guanajuato,4663032,2233315,2429717,4893812,2329136,2564676,5486372,2639425,2846947
Guerrero,3079649,1491287,1588362,3115202,1499453,1615749,3388768,1645561,1743207
Hidalgo,2235591,1081993,1153598,2345514,1125188,1220326,2665018,1285222,1379796
Jalisco,6322002,3070241,3251761,6752113,3278822,3473291,7350682,3600641,3750041
México,13096686,6407213,6689473,14007495,6832822,7174673,15175862,7396986,7778876
Michoacán de Ocampo,3985667,1911078,2074589,3966073,1892377,2073696,4351037,2102109,2248928
Morelos,1555296,750799,804497,1612899,775311,837588,1777227,858588,918639
Nayarit,920185,456105,464080,949684,469204,480480,1084979,541007,543972
Nuevo León,3834141,1907939,1926202,4199292,2090673,2108619,4653458,2320185,2333273
Oaxaca,3438765,1657406,1781359,3506821,1674855,1831966,3801962,1819008,1982954
Puebla,5076686,2448801,2627885,5383133,2578664,2804469,5779829,2769855,3009974
Querétaro,1404306,680966,723340,1598139,772759,825380,1827937,887188,940749
Quintana Roo,874963,448308,426655,1135309,574837,560472,1325578,673220,652358
San Luis Potosí,2299360,1120837,1178523,2410414,1167308,1243106,2585518,1260366,1325152
Sinaloa,2536844,1264143,1272701,2608442,1294617,1313825,2767761,1376201,1391560
Sonora,2216969,1110590,1106379,2394861,1198154,1196707,2662480,1339612,1322868
Tabasco,1891829,934515,957314,1989969,977785,1012184,2238603,1100758,1137845
Tamaulipas,2753222,1359874,1393348,3024238,1493573,1530665,3268554,1616201,1652353
Tlaxcala,962646,469948,492698,1068207,517477,550730,1169936,565775,604161
Veracruz de Ignacio de la Llave,6908975,3355164,3553811,7110214,3423379,3686835,7643194,3695679,3947515
Yucatán,1658210,818205,840005,1818948,896562,922386,1955577,963333,992244
Zacatecas,1353610,653583,700027,1367692,659333,708359,1490668,726897,763771
